class_a,class_b,auc_mean,auc_std,experiment
360945,360945,0.7274279099391183,0.0018151907404878286,8M.c_term
362108,362108,0.7312328620580679,0.0009450658745805058,8M.n_term
361610,361610,0.8192336439741694,0.0007290877469110073,8M.n_c_term
362588,362588,0.6204357493187783,0.0005504103265583598,8M.p01
362701,362701,0.722197543264173,0.00042172507101163545,8M.p02
362717,362717,0.8239053262841539,0.0015056566024719957,8M.p03
360871,360871,0.7023731554170469,0.0017633767069987288,35M.c_term
362048,362048,0.7050547365442554,0.0013340888124026844,35M.n_term
361610,361610,0.7826003147395866,0.0015309287796114897,35M.n_c_term
362568,362568,0.6055652793715981,0.0021840029845788117,35M.p01
362698,362698,0.693670309618007,0.0011215157941540394,35M.p02
362710,362710,0.7890662906234353,0.001166688141965614,35M.p03
360812,360812,0.6582759519814616,0.0011377343211794791,150M.c_term
361925,361925,0.6627681419738493,0.0014199723433471084,150M.n_term
361628,361628,0.7275470640641145,0.001627137173476678,150M.n_c_term
362532,362532,0.5799568437235502,0.0014865565270385929,150M.p01
362691,362691,0.6497617735759533,0.0023030183333784837,150M.p02
362710,362710,0.7284734730453779,0.0009571020778092779,150M.p03
360710,360710,0.6327858325727578,0.0008502507677292156,650M.c_term
361847,361847,0.63447526367342,0.0013895711300283525,650M.n_term
361706,361706,0.6880722785917375,0.0007223749369502013,650M.n_c_term
362485,362485,0.5638955767399481,0.002791744976025148,650M.p01
362669,362669,0.6206001140491095,0.001219893066316476,650M.p02
362703,362703,0.6813051575709675,0.0013123870942398014,650M.p03
